Network,activity,m,beta,mu,SteadyState
ER-1000.adjlist,0.05,0,0.14,1,0.0
ER-1000.adjlist,0.05,0,0.145,1,0.0
ER-1000.adjlist,0.05,0,0.15,1,0.0
ER-1000.adjlist,0.05,0,0.155,1,0.0
ER-1000.adjlist,0.05,0,0.16,1,0.0
ER-1000.adjlist,0.05,0,0.165,1,0.0
ER-1000.adjlist,0.05,0,0.17,1,0.0
ER-1000.adjlist,0.05,0,0.175,1,0.0124
ER-1000.adjlist,0.05,0,0.18,1,0.0522
ER-1000.adjlist,0.05,0,0.185,1,0.07
ER-1000.adjlist,0.05,0,0.19,1,0.0872
ER-1000.adjlist,0.05,0,0.195,1,0.1005
ER-1000.adjlist,0.05,1,0.14,1,0.0
ER-1000.adjlist,0.05,1,0.145,1,0.0
ER-1000.adjlist,0.05,1,0.15,1,0.0
ER-1000.adjlist,0.05,1,0.155,1,0.0
ER-1000.adjlist,0.05,1,0.16,1,0.0
ER-1000.adjlist,0.05,1,0.165,1,0.0
ER-1000.adjlist,0.05,1,0.17,1,0.0041
ER-1000.adjlist,0.05,1,0.175,1,0.0265
ER-1000.adjlist,0.05,1,0.18,1,0.0602
ER-1000.adjlist,0.05,1,0.185,1,0.0777
ER-1000.adjlist,0.05,1,0.19,1,0.096
ER-1000.adjlist,0.05,1,0.195,1,0.1083
ER-1000.adjlist,0.05,2,0.14,1,0.0
ER-1000.adjlist,0.05,2,0.145,1,0.0
ER-1000.adjlist,0.05,2,0.15,1,0.0
ER-1000.adjlist,0.05,2,0.155,1,0.0
ER-1000.adjlist,0.05,2,0.16,1,0.0
ER-1000.adjlist,0.05,2,0.165,1,0.0
ER-1000.adjlist,0.05,2,0.17,1,0.0123
ER-1000.adjlist,0.05,2,0.175,1,0.053
ER-1000.adjlist,0.05,2,0.18,1,0.0704
ER-1000.adjlist,0.05,2,0.185,1,0.0859
ER-1000.adjlist,0.05,2,0.19,1,0.103
ER-1000.adjlist,0.05,2,0.195,1,0.1155
ER-1000.adjlist,0.05,3,0.14,1,0.0
ER-1000.adjlist,0.05,3,0.145,1,0.0
ER-1000.adjlist,0.05,3,0.15,1,0.0
ER-1000.adjlist,0.05,3,0.155,1,0.0
ER-1000.adjlist,0.05,3,0.16,1,0.0
ER-1000.adjlist,0.05,3,0.165,1,0.0015
ER-1000.adjlist,0.05,3,0.17,1,0.0335
ER-1000.adjlist,0.05,3,0.175,1,0.0624
ER-1000.adjlist,0.05,3,0.18,1,0.0788
ER-1000.adjlist,0.05,3,0.185,1,0.0932
ER-1000.adjlist,0.05,3,0.19,1,0.1099
ER-1000.adjlist,0.05,3,0.195,1,0.1232
ER-1000.adjlist,0.05,4,0.14,1,0.0
ER-1000.adjlist,0.05,4,0.145,1,0.0
ER-1000.adjlist,0.05,4,0.15,1,0.0
ER-1000.adjlist,0.05,4,0.155,1,0.0
ER-1000.adjlist,0.05,4,0.16,1,0.0
ER-1000.adjlist,0.05,4,0.165,1,0.0088
ER-1000.adjlist,0.05,4,0.17,1,0.0514
ER-1000.adjlist,0.05,4,0.175,1,0.0683
ER-1000.adjlist,0.05,4,0.18,1,0.0886
ER-1000.adjlist,0.05,4,0.185,1,0.1034
ER-1000.adjlist,0.05,4,0.19,1,0.1175
ER-1000.adjlist,0.05,4,0.195,1,0.13
ER-1000.adjlist,0.05,5,0.14,1,0.0
ER-1000.adjlist,0.05,5,0.145,1,0.0
ER-1000.adjlist,0.05,5,0.15,1,0.0
ER-1000.adjlist,0.05,5,0.155,1,0.0
ER-1000.adjlist,0.05,5,0.16,1,0.0004
