Network,m,beta,mu,SteadyState,steady_index:
ER-1000,0,0.085,1,0.0,14
ER-1000,1,0.085,1,0.0,16
ER-1000,2,0.085,1,0.0001,20
ER-1000,3,0.085,1,0.0002,24
ER-1000,4,0.085,1,0.0005,32
ER-1000,5,0.085,1,0.0017,43
ER-1000,6,0.085,1,0.0039,54
ER-1000,7,0.085,1,0.0,149
ER-1000,8,0.085,1,0.0,321
ER-1000,9,0.085,1,0.0,100
ER-1000,10,0.085,1,0.0417,0
ER-1000,11,0.085,1,0.0567,0
ER-1000,12,0.085,1,0.0668,5
ER-1000,13,0.085,1,0.0762,9
ER-1000,14,0.085,1,0.0841,12
ER-1000,15,0.085,1,0.0916,13
ER-1000,16,0.085,1,0.0993,12
ER-1000,17,0.085,1,0.1054,12
ER-1000,18,0.085,1,0.1131,13
ER-1000,19,0.085,1,0.1197,12
ER-1000,20,0.085,1,0.1253,12
